run_id,requirement_id,principle,source_row,requirement,backend,model,repetition
ABL-T03__anthropic__3,ABL-T03,Transparency,1012,"System needs to provide process documentation and specs for new service joining the system. List of acceptable actions should be given. E.g. are there restrictions of data usage, bandwidth, number of API queries",anthropic,claude-fable-5-1,3
ABL-T03__google__1,ABL-T03,Transparency,1012,"System needs to provide process documentation and specs for new service joining the system. List of acceptable actions should be given. E.g. are there restrictions of data usage, bandwidth, number of API queries",google,gemini-3.8-flash,1
ABL-T03__google__2,ABL-T03,Transparency,1012,"System needs to provide process documentation and specs for new service joining the system. List of acceptable actions should be given. E.g. are there restrictions of data usage, bandwidth, number of API queries",google,gemini-3.8-flash,2
ABL-T03__google__3,ABL-T03,Transparency,1012,"System needs to provide process documentation and specs for new service joining the system. List of acceptable actions should be given. E.g. are there restrictions of data usage, bandwidth, number of API queries",google,gemini-3.8-flash,3
ABL-P01__openai__1,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,openai,gpt-5.6-terra,1
ABL-P01__openai__2,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,openai,gpt-5.6-terra,2
ABL-P01__openai__3,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,openai,gpt-5.6-terra,3
ABL-P01__anthropic__1,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,anthropic,claude-fable-5-1,1
ABL-P01__anthropic__2,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,anthropic,claude-fable-5-1,2
ABL-P01__anthropic__3,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,anthropic,claude-fable-5-1,3
ABL-P01__google__1,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,google,gemini-3.8-flash,1
ABL-P01__google__2,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,google,gemini-3.8-flash,2
ABL-P01__google__3,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,google,gemini-3.8-flash,3
ABL-P02__openai__1,ABL-P02,Privacy,934,The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.,openai,gpt-5.6-terra,1
ABL-P02__openai__2,ABL-P02,Privacy,934,The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.,openai,gpt-5.6-terra,2
ABL-P02__openai__3,ABL-P02,Privacy,934,The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.,openai,gpt-5.6-terra,3
ABL-P02__anthropic__1,ABL-P02,Privacy,934,The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.,anthropic,claude-fable-5-1,1
ABL-P02__anthropic__2,ABL-P02,Privacy,934,The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.,anthropic,claude-fable-5-1,2
ABL-P02__anthropic__3,ABL-P02,Privacy,934,The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.,anthropic,claude-fable-5-1,3
ABL-P02__google__1,ABL-P02,Privacy,934,The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.,google,gemini-3.8-flash,1
ABL-P02__google__2,ABL-P02,Privacy,934,The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.,google,gemini-3.8-flash,2
ABL-P02__google__3,ABL-P02,Privacy,934,The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.,google,gemini-3.8-flash,3
ABL-P03__openai__1,ABL-P03,Privacy,995,"If the terminal interacts with smart vehicles, it must be in a way that does not compromise the safety of either party. There must be clear limits to what data is shared and what permissions the systems have for information exchange.",openai,gpt-5.6-terra,1
ABL-P03__openai__2,ABL-P03,Privacy,995,"If the terminal interacts with smart vehicles, it must be in a way that does not compromise the safety of either party. There must be clear limits to what data is shared and what permissions the systems have for information exchange.",openai,gpt-5.6-terra,2
ABL-P03__openai__3,ABL-P03,Privacy,995,"If the terminal interacts with smart vehicles, it must be in a way that does not compromise the safety of either party. There must be clear limits to what data is shared and what permissions the systems have for information exchange.",openai,gpt-5.6-terra,3
ABL-P03__anthropic__1,ABL-P03,Privacy,995,"If the terminal interacts with smart vehicles, it must be in a way that does not compromise the safety of either party. There must be clear limits to what data is shared and what permissions the systems have for information exchange.",anthropic,claude-fable-5-1,1
ABL-P03__anthropic__2,ABL-P03,Privacy,995,"If the terminal interacts with smart vehicles, it must be in a way that does not compromise the safety of either party. There must be clear limits to what data is shared and what permissions the systems have for information exchange.",anthropic,claude-fable-5-1,2
ABL-P03__anthropic__3,ABL-P03,Privacy,995,"If the terminal interacts with smart vehicles, it must be in a way that does not compromise the safety of either party. There must be clear limits to what data is shared and what permissions the systems have for information exchange.",anthropic,claude-fable-5-1,3
ABL-P03__google__1,ABL-P03,Privacy,995,"If the terminal interacts with smart vehicles, it must be in a way that does not compromise the safety of either party. There must be clear limits to what data is shared and what permissions the systems have for information exchange.",google,gemini-3.8-flash,1
ABL-P03__google__2,ABL-P03,Privacy,995,"If the terminal interacts with smart vehicles, it must be in a way that does not compromise the safety of either party. There must be clear limits to what data is shared and what permissions the systems have for information exchange.",google,gemini-3.8-flash,2
ABL-P03__google__3,ABL-P03,Privacy,995,"If the terminal interacts with smart vehicles, it must be in a way that does not compromise the safety of either party. There must be clear limits to what data is shared and what permissions the systems have for information exchange.",google,gemini-3.8-flash,3
ABL-F01__openai__1,ABL-F01,Freedom & Autonomy,1035,"The value add application the passenger is using needs to impelent a control which identifies, which data processing activities are necessary for which basic or added value services the user is considering to use and she can thus opt in or out of the service based on the data processed. The data the user has selected for her rights execution needs to be processed accordingly, e.g. anonymized, deleted or made available for the user to transfer to another service/download.",openai,gpt-5.6-terra,1
ABL-F01__openai__2,ABL-F01,Freedom & Autonomy,1035,"The value add application the passenger is using needs to impelent a control which identifies, which data processing activities are necessary for which basic or added value services the user is considering to use and she can thus opt in or out of the service based on the data processed. The data the user has selected for her rights execution needs to be processed accordingly, e.g. anonymized, deleted or made available for the user to transfer to another service/download.",openai,gpt-5.6-terra,2
ABL-F01__openai__3,ABL-F01,Freedom & Autonomy,1035,"The value add application the passenger is using needs to impelent a control which identifies, which data processing activities are necessary for which basic or added value services the user is considering to use and she can thus opt in or out of the service based on the data processed. The data the user has selected for her rights execution needs to be processed accordingly, e.g. anonymized, deleted or made available for the user to transfer to another service/download.",openai,gpt-5.6-terra,3
ABL-F01__anthropic__1,ABL-F01,Freedom & Autonomy,1035,"The value add application the passenger is using needs to impelent a control which identifies, which data processing activities are necessary for which basic or added value services the user is considering to use and she can thus opt in or out of the service based on the data processed. The data the user has selected for her rights execution needs to be processed accordingly, e.g. anonymized, deleted or made available for the user to transfer to another service/download.",anthropic,claude-fable-5-1,1
ABL-F01__anthropic__2,ABL-F01,Freedom & Autonomy,1035,"The value add application the passenger is using needs to impelent a control which identifies, which data processing activities are necessary for which basic or added value services the user is considering to use and she can thus opt in or out of the service based on the data processed. The data the user has selected for her rights execution needs to be processed accordingly, e.g. anonymized, deleted or made available for the user to transfer to another service/download.",anthropic,claude-fable-5-1,2
ABL-F01__anthropic__3,ABL-F01,Freedom & Autonomy,1035,"The value add application the passenger is using needs to impelent a control which identifies, which data processing activities are necessary for which basic or added value services the user is considering to use and she can thus opt in or out of the service based on the data processed. The data the user has selected for her rights execution needs to be processed accordingly, e.g. anonymized, deleted or made available for the user to transfer to another service/download.",anthropic,claude-fable-5-1,3
ABL-F01__google__1,ABL-F01,Freedom & Autonomy,1035,"The value add application the passenger is using needs to impelent a control which identifies, which data processing activities are necessary for which basic or added value services the user is considering to use and she can thus opt in or out of the service based on the data processed. The data the user has selected for her rights execution needs to be processed accordingly, e.g. anonymized, deleted or made available for the user to transfer to another service/download.",google,gemini-3.8-flash,1
ABL-F01__google__2,ABL-F01,Freedom & Autonomy,1035,"The value add application the passenger is using needs to impelent a control which identifies, which data processing activities are necessary for which basic or added value services the user is considering to use and she can thus opt in or out of the service based on the data processed. The data the user has selected for her rights execution needs to be processed accordingly, e.g. anonymized, deleted or made available for the user to transfer to another service/download.",google,gemini-3.8-flash,2
ABL-F01__google__3,ABL-F01,Freedom & Autonomy,1035,"The value add application the passenger is using needs to impelent a control which identifies, which data processing activities are necessary for which basic or added value services the user is considering to use and she can thus opt in or out of the service based on the data processed. The data the user has selected for her rights execution needs to be processed accordingly, e.g. anonymized, deleted or made available for the user to transfer to another service/download.",google,gemini-3.8-flash,3
ABL-F02__openai__1,ABL-F02,Freedom & Autonomy,961,The product shall be available to players who understand English  Spanish and French. The product shall allow the user to select the language upon accessing the product.,openai,gpt-5.6-terra,1
ABL-F02__openai__2,ABL-F02,Freedom & Autonomy,961,The product shall be available to players who understand English  Spanish and French. The product shall allow the user to select the language upon accessing the product.,openai,gpt-5.6-terra,2
ABL-F02__openai__3,ABL-F02,Freedom & Autonomy,961,The product shall be available to players who understand English  Spanish and French. The product shall allow the user to select the language upon accessing the product.,openai,gpt-5.6-terra,3
ABL-F02__anthropic__1,ABL-F02,Freedom & Autonomy,961,The product shall be available to players who understand English  Spanish and French. The product shall allow the user to select the language upon accessing the product.,anthropic,claude-fable-5-1,1
ABL-F02__anthropic__2,ABL-F02,Freedom & Autonomy,961,The product shall be available to players who understand English  Spanish and French. The product shall allow the user to select the language upon accessing the product.,anthropic,claude-fable-5-1,2
ABL-F02__anthropic__3,ABL-F02,Freedom & Autonomy,961,The product shall be available to players who understand English  Spanish and French. The product shall allow the user to select the language upon accessing the product.,anthropic,claude-fable-5-1,3
ABL-F02__google__1,ABL-F02,Freedom & Autonomy,961,The product shall be available to players who understand English  Spanish and French. The product shall allow the user to select the language upon accessing the product.,google,gemini-3.8-flash,1
ABL-F02__google__2,ABL-F02,Freedom & Autonomy,961,The product shall be available to players who understand English  Spanish and French. The product shall allow the user to select the language upon accessing the product.,google,gemini-3.8-flash,2
ABL-F02__google__3,ABL-F02,Freedom & Autonomy,961,The product shall be available to players who understand English  Spanish and French. The product shall allow the user to select the language upon accessing the product.,google,gemini-3.8-flash,3
ABL-F03__openai__1,ABL-F03,Freedom & Autonomy,931,Registered User must be able to maintain his/her session information for at least 60 minutes of inactive session before the system prompts him to log out of the system. The registered user must be provided with all the options of the E-store regardless of the time when he/she logs in.,openai,gpt-5.6-terra,1
ABL-F03__openai__2,ABL-F03,Freedom & Autonomy,931,Registered User must be able to maintain his/her session information for at least 60 minutes of inactive session before the system prompts him to log out of the system. The registered user must be provided with all the options of the E-store regardless of the time when he/she logs in.,openai,gpt-5.6-terra,2
ABL-F03__openai__3,ABL-F03,Freedom & Autonomy,931,Registered User must be able to maintain his/her session information for at least 60 minutes of inactive session before the system prompts him to log out of the system. The registered user must be provided with all the options of the E-store regardless of the time when he/she logs in.,openai,gpt-5.6-terra,3
ABL-F03__anthropic__1,ABL-F03,Freedom & Autonomy,931,Registered User must be able to maintain his/her session information for at least 60 minutes of inactive session before the system prompts him to log out of the system. The registered user must be provided with all the options of the E-store regardless of the time when he/she logs in.,anthropic,claude-fable-5-1,1
ABL-F03__anthropic__2,ABL-F03,Freedom & Autonomy,931,Registered User must be able to maintain his/her session information for at least 60 minutes of inactive session before the system prompts him to log out of the system. The registered user must be provided with all the options of the E-store regardless of the time when he/she logs in.,anthropic,claude-fable-5-1,2
ABL-F03__anthropic__3,ABL-F03,Freedom & Autonomy,931,Registered User must be able to maintain his/her session information for at least 60 minutes of inactive session before the system prompts him to log out of the system. The registered user must be provided with all the options of the E-store regardless of the time when he/she logs in.,anthropic,claude-fable-5-1,3
ABL-F03__google__1,ABL-F03,Freedom & Autonomy,931,Registered User must be able to maintain his/her session information for at least 60 minutes of inactive session before the system prompts him to log out of the system. The registered user must be provided with all the options of the E-store regardless of the time when he/she logs in.,google,gemini-3.8-flash,1
ABL-F03__google__2,ABL-F03,Freedom & Autonomy,931,Registered User must be able to maintain his/her session information for at least 60 minutes of inactive session before the system prompts him to log out of the system. The registered user must be provided with all the options of the E-store regardless of the time when he/she logs in.,google,gemini-3.8-flash,2
ABL-F03__google__3,ABL-F03,Freedom & Autonomy,931,Registered User must be able to maintain his/her session information for at least 60 minutes of inactive session before the system prompts him to log out of the system. The registered user must be provided with all the options of the E-store regardless of the time when he/she logs in.,google,gemini-3.8-flash,3
ABL-J01__openai__1,ABL-J01,Justice & Equity,1009,"Ensure the quality of the data by testing. Testing at least with race, gender, age should be done and variance between gropes should not be significant. Realtime testing in real context needs to be done before launch.",openai,gpt-5.6-terra,1
ABL-J01__openai__2,ABL-J01,Justice & Equity,1009,"Ensure the quality of the data by testing. Testing at least with race, gender, age should be done and variance between gropes should not be significant. Realtime testing in real context needs to be done before launch.",openai,gpt-5.6-terra,2
ABL-J01__openai__3,ABL-J01,Justice & Equity,1009,"Ensure the quality of the data by testing. Testing at least with race, gender, age should be done and variance between gropes should not be significant. Realtime testing in real context needs to be done before launch.",openai,gpt-5.6-terra,3
ABL-J01__anthropic__1,ABL-J01,Justice & Equity,1009,"Ensure the quality of the data by testing. Testing at least with race, gender, age should be done and variance between gropes should not be significant. Realtime testing in real context needs to be done before launch.",anthropic,claude-fable-5-1,1
ABL-J01__anthropic__2,ABL-J01,Justice & Equity,1009,"Ensure the quality of the data by testing. Testing at least with race, gender, age should be done and variance between gropes should not be significant. Realtime testing in real context needs to be done before launch.",anthropic,claude-fable-5-1,2
ABL-J01__anthropic__3,ABL-J01,Justice & Equity,1009,"Ensure the quality of the data by testing. Testing at least with race, gender, age should be done and variance between gropes should not be significant. Realtime testing in real context needs to be done before launch.",anthropic,claude-fable-5-1,3
ABL-J01__google__1,ABL-J01,Justice & Equity,1009,"Ensure the quality of the data by testing. Testing at least with race, gender, age should be done and variance between gropes should not be significant. Realtime testing in real context needs to be done before launch.",google,gemini-3.8-flash,1
ABL-J01__google__2,ABL-J01,Justice & Equity,1009,"Ensure the quality of the data by testing. Testing at least with race, gender, age should be done and variance between gropes should not be significant. Realtime testing in real context needs to be done before launch.",google,gemini-3.8-flash,2
ABL-J01__google__3,ABL-J01,Justice & Equity,1009,"Ensure the quality of the data by testing. Testing at least with race, gender, age should be done and variance between gropes should not be significant. Realtime testing in real context needs to be done before launch.",google,gemini-3.8-flash,3
ABL-J02__openai__1,ABL-J02,Justice & Equity,1016,Systems identifies users with special need and has feature to inform terminal service provider of required help. Systems also need to be available to tract special need aids inside the Terminal.,openai,gpt-5.6-terra,1
ABL-J02__openai__2,ABL-J02,Justice & Equity,1016,Systems identifies users with special need and has feature to inform terminal service provider of required help. Systems also need to be available to tract special need aids inside the Terminal.,openai,gpt-5.6-terra,2
ABL-J02__openai__3,ABL-J02,Justice & Equity,1016,Systems identifies users with special need and has feature to inform terminal service provider of required help. Systems also need to be available to tract special need aids inside the Terminal.,openai,gpt-5.6-terra,3
ABL-J02__anthropic__1,ABL-J02,Justice & Equity,1016,Systems identifies users with special need and has feature to inform terminal service provider of required help. Systems also need to be available to tract special need aids inside the Terminal.,anthropic,claude-fable-5-1,1
ABL-J02__anthropic__2,ABL-J02,Justice & Equity,1016,Systems identifies users with special need and has feature to inform terminal service provider of required help. Systems also need to be available to tract special need aids inside the Terminal.,anthropic,claude-fable-5-1,2
ABL-J02__anthropic__3,ABL-J02,Justice & Equity,1016,Systems identifies users with special need and has feature to inform terminal service provider of required help. Systems also need to be available to tract special need aids inside the Terminal.,anthropic,claude-fable-5-1,3
ABL-J02__google__1,ABL-J02,Justice & Equity,1016,Systems identifies users with special need and has feature to inform terminal service provider of required help. Systems also need to be available to tract special need aids inside the Terminal.,google,gemini-3.8-flash,1
ABL-J02__google__2,ABL-J02,Justice & Equity,1016,Systems identifies users with special need and has feature to inform terminal service provider of required help. Systems also need to be available to tract special need aids inside the Terminal.,google,gemini-3.8-flash,2
ABL-J02__google__3,ABL-J02,Justice & Equity,1016,Systems identifies users with special need and has feature to inform terminal service provider of required help. Systems also need to be available to tract special need aids inside the Terminal.,google,gemini-3.8-flash,3
ABL-J03__openai__1,ABL-J03,Justice & Equity,367,The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,openai,gpt-5.6-terra,1
ABL-J03__openai__2,ABL-J03,Justice & Equity,367,The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,openai,gpt-5.6-terra,2
ABL-J03__openai__3,ABL-J03,Justice & Equity,367,The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,openai,gpt-5.6-terra,3
ABL-J03__anthropic__1,ABL-J03,Justice & Equity,367,The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,anthropic,claude-fable-5-1,1
ABL-J03__anthropic__2,ABL-J03,Justice & Equity,367,The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,anthropic,claude-fable-5-1,2
ABL-J03__anthropic__3,ABL-J03,Justice & Equity,367,The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,anthropic,claude-fable-5-1,3
ABL-J03__google__1,ABL-J03,Justice & Equity,367,The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,google,gemini-3.8-flash,1
ABL-J03__google__2,ABL-J03,Justice & Equity,367,The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,google,gemini-3.8-flash,2
ABL-J03__google__3,ABL-J03,Justice & Equity,367,The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,google,gemini-3.8-flash,3
