run_id,requirement_id,principle,source_row,requirement,backend,model,repetition,started_at,elapsed_seconds,title,description,work_items,checks_passed,structure_issues,redundancy_issues,api_response_ids,saved_run_path
ABL-J02__google__1,ABL-J02,Justice & Equity,1016,Systems identifies users with special need and has feature to inform terminal service provider of required help. Systems also need to be available to tract special need aids inside the Terminal.,google,gemini-3.8-flash,1,2026-09-14T18:22:02.830778+00:00,9.111,Special Needs Assistance Identification and Aid Tracking,"As a user with special needs, I want the system to notify the terminal service provider of my required assistance, so that the provider is aware of the help I need.","[""Identify users who have special needs."", ""Provide functionality to notify the terminal service provider of the required assistance."", ""Provide tracking for special needs aids inside the terminal.""]",True,[],[],"[""v1_ChdVanVvYXV5a0RQRzZuc0VQamJmODRBYxIXVWp1b2F1eWtEUEc2bnNFUGpiZjg0QWM""]",outputs/backend_runs/20260914T182211Z_ABL-J02_google_gemini-3_8-flash_r1.json
ABL-T02__openai__2,ABL-T02,Transparency,1036,Data statements need to be available and also descriptions what services optional and how to opt—out on those need to be implanted. Description of what parts of the system are used by harbor official and cannot by opt-outed.,openai,gpt-5.6-terra,2,2026-09-14T18:22:11.941679+00:00,3.110,Data Statements and Opt-Out Transparency,"As a user, I want data statements and clear information about optional services and non-optional system functions, so that I can understand which services I may decline.","[""Make data statements available."", ""Describe which services are optional and how users can opt out of them."", ""Describe which parts of the system are used by harbor officials and cannot be opted out of.""]",True,[],[],"[""resp_0a6930e5711f9117006aa83b54669c87d2973d2cb644f93f9c""]",outputs/backend_runs/20260914T182215Z_ABL-T02_openai_gpt-5_6-terra_r2.json
ABL-P03__anthropic__2,ABL-P03,Privacy,995,"If the terminal interacts with smart vehicles, it must be in a way that does not compromise the safety of either party. There must be clear limits to what data is shared and what permissions the systems have for information exchange.",anthropic,claude-fable-5-1,2,2026-09-14T18:22:15.052236+00:00,6.260,Safe and Bounded Interaction with Smart Vehicles,"As a user, I want the terminal's interaction with smart vehicles to preserve the safety of both the terminal and the vehicle, so that neither party is put at risk through their information exchange.","[""Interaction between the terminal and smart vehicles must not compromise the safety of the terminal or the vehicle."", ""Clear limits must be defined on what data is shared between the terminal and smart vehicles."", ""Clear limits must be defined on the permissions each system has for information exchange.""]",True,[],[],"[""msg_011Cf3oBh6H1EKqdpMm6Mcqa""]",outputs/backend_runs/20260914T182221Z_ABL-P03_anthropic_claude-fable-5-1_r2.json
ABL-T02__anthropic__3,ABL-T02,Transparency,1036,Data statements need to be available and also descriptions what services optional and how to opt—out on those need to be implanted. Description of what parts of the system are used by harbor official and cannot by opt-outed.,anthropic,claude-fable-5-1,3,2026-09-14T18:22:21.312929+00:00,7.712,Transparency of Data Statements and Opt-Out Options,"As a user, I want data statements and descriptions of optional and non-optional services to be available, so that I can distinguish which services I can opt out of and how.","[""Data statements shall be made available."", ""Descriptions of which services are optional shall be provided."", ""Descriptions of how to opt out of optional services shall be provided."", ""A description of which parts of the system are used by harbor officials and cannot be opted out of shall be provided.""]",True,[],[],"[""msg_011Cf3oC9ayiigRwk67pv3tg""]",outputs/backend_runs/20260914T182229Z_ABL-T02_anthropic_claude-fable-5-1_r3.json
ABL-F01__openai__1,ABL-F01,Freedom & Autonomy,1035,"The value add application the passenger is using needs to impelent a control which identifies, which data processing activities are necessary for which basic or added value services the user is considering to use and she can thus opt in or out of the service based on the data processed. The data the user has selected for her rights execution needs to be processed accordingly, e.g. anonymized, deleted or made available for the user to transfer to another service/download.",openai,gpt-5.6-terra,1,2026-09-14T18:22:29.024941+00:00,6.833,Service-Specific Data Processing Choices,"As a passenger, I want to understand the data processing required for services I am considering so that I can assess its implications before choosing whether to use them.","[""Provide a control that identifies the data processing activities necessary for each basic or added-value service the passenger is considering."", ""Allow the passenger to opt in to or out of a service based on the identified data processing."", ""Process data selected by the passenger for rights execution according to the selected action, such as anonymisation, deletion, or making the data available for transfer to another service or download.""]",True,[],[],"[""resp_0490dc9a8c832304006aa83b653ff887d2ad77e481e8b92aba""]",outputs/backend_runs/20260914T182235Z_ABL-F01_openai_gpt-5_6-terra_r1.json
ABL-T03__google__3,ABL-T03,Transparency,1012,"System needs to provide process documentation and specs for new service joining the system. List of acceptable actions should be given. E.g. are there restrictions of data usage, bandwidth, number of API queries",google,gemini-3.8-flash,3,2026-09-14T18:22:35.858144+00:00,7.201,Service Onboarding Documentation and Operational Constraints,"As a service developer, I want process documentation and technical specifications for onboarding a new service, so that I can integrate the service in compliance with permitted actions and operational constraints.","[""Provide process documentation and technical specifications for new services joining the system."", ""Define the list of acceptable actions permitted for joining services."", ""Specify any applicable usage restrictions, including data usage, bandwidth limits, and API query limits.""]",True,[],[],"[""v1_ChdjVHVvYXZ6UEdjZjV4TjhQbVpLajRBaxIXY1R1b2F2elBHY2Y1eE44UG1aS2o0QWs""]",outputs/backend_runs/20260914T182243Z_ABL-T03_google_gemini-3_8-flash_r3.json
ABL-J01__google__3,ABL-J01,Justice & Equity,1009,"Ensure the quality of the data by testing. Testing at least with race, gender, age should be done and variance between gropes should not be significant. Realtime testing in real context needs to be done before launch.",google,gemini-3.8-flash,3,2026-09-14T18:22:43.059838+00:00,7.938,Demographic Fairness and Real-Context Quality Testing,"As a user, I want the system to undergo data quality and performance testing across demographic groups and in real contexts, so that significant variance across groups is avoided prior to launch.","[""Conduct data quality testing across at least race, gender, and age attributes."", ""Verify that variance between demographic groups is not significant."", ""Perform real-time testing in a real context prior to launch.""]",True,[],[],"[""v1_ChdlVHVvYXVtd0lNbmxuc0VQbzlQVzBRWRIXZVR1b2F1bXdJTW5sbnNFUG85UFcwUVk""]",outputs/backend_runs/20260914T182250Z_ABL-J01_google_gemini-3_8-flash_r3.json
ABL-P03__anthropic__1,ABL-P03,Privacy,995,"If the terminal interacts with smart vehicles, it must be in a way that does not compromise the safety of either party. There must be clear limits to what data is shared and what permissions the systems have for information exchange.",anthropic,claude-fable-5-1,1,2026-09-14T18:22:50.998466+00:00,5.364,Safe and Bounded Interaction with Smart Vehicles,"As a user, I want the terminal's interaction with smart vehicles to be conducted safely and within clear data-sharing limits, so that neither party's safety is compromised.","[""If the terminal interacts with smart vehicles, the interaction must not compromise the safety of the terminal or the smart vehicle."", ""Clear limits must be defined on what data is shared between the terminal and smart vehicles."", ""Clear limits must be defined on the permissions each system has for information exchange.""]",True,[],[],"[""msg_011Cf3oELLwdJQZaRRWHiuwe""]",outputs/backend_runs/20260914T182256Z_ABL-P03_anthropic_claude-fable-5-1_r1.json
ABL-T01__openai__2,ABL-T01,Transparency,975,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated.,openai,gpt-5.6-terra,2,2026-09-14T18:22:56.362923+00:00,4.124,Communicate Data Policy and GDPR Request Handling,"As a user, I want the service's data information policy and the handling of data requests to be communicated, so that I can understand how my personal-data request may be managed.","[""The service app or web page must communicate the data information policy."", ""Procedures for GDPR compliance must be in place."", ""Required steps for handling large volumes of user data requests must be planned."", ""Where handling a request requires resource redirection or causes waiting times, this must be clearly communicated.""]",True,[],[],"[""resp_019f9f13e0ec9dc5006aa83b809e6887d29b014c4dfac12433""]",outputs/backend_runs/20260914T182300Z_ABL-T01_openai_gpt-5_6-terra_r2.json
ABL-P03__anthropic__3,ABL-P03,Privacy,995,"If the terminal interacts with smart vehicles, it must be in a way that does not compromise the safety of either party. There must be clear limits to what data is shared and what permissions the systems have for information exchange.",anthropic,claude-fable-5-1,3,2026-09-14T18:23:00.487553+00:00,5.195,Safe and Bounded Interaction with Smart Vehicles,"As a user, I want the terminal's interactions with smart vehicles to not compromise the safety of either party, so that neither the terminal nor the vehicle is put at risk by their exchange.","[""Interaction between the terminal and smart vehicles must not compromise the safety of either the terminal or the vehicle."", ""Clear limits must be defined on what data is shared between the terminal and smart vehicles."", ""Clear limits must be defined on the permissions each system has for information exchange.""]",True,[],[],"[""msg_011Cf3oF31AzmNGLFTeaUUVX""]",outputs/backend_runs/20260914T182305Z_ABL-P03_anthropic_claude-fable-5-1_r3.json
ABL-F03__openai__1,ABL-F03,Freedom & Autonomy,931,Registered User must be able to maintain his/her session information for at least 60 minutes of inactive session before the system prompts him to log out of the system. The registered user must be provided with all the options of the E-store regardless of the time when he/she logs in.,openai,gpt-5.6-terra,1,2026-09-14T18:23:05.682421+00:00,2.678,Session Continuity and Consistent Store Access,"As a registered user, I want my session to remain available during periods of inactivity and to access all E-store options whenever I log in, so that I can continue using the E-store without losing access due to inactivity or login time.","[""A registered user's session information must be maintained for at least 60 minutes of inactivity before the system prompts the user to log out."", ""Registered users must be provided with all E-store options regardless of the time at which they log in.""]",True,[],[],"[""resp_07f91ea4bb7e5bfa006aa83b89db2c87d29a1a85af11e9d69e""]",outputs/backend_runs/20260914T182308Z_ABL-F03_openai_gpt-5_6-terra_r1.json
ABL-P01__openai__1,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,openai,gpt-5.6-terra,1,2026-09-14T18:23:08.360258+00:00,2.583,Protect Player Identity,"As a player, I want other players' identity-revealing information withheld so that I can participate without being identified by them.","[""The product shall not provide players access to information that might reveal another player's identity.""]",True,[],[],"[""resp_0d458b7192a6c141006aa83b8cb99c87d29f98ed171ad2d966""]",outputs/backend_runs/20260914T182310Z_ABL-P01_openai_gpt-5_6-terra_r1.json
ABL-P02__openai__2,ABL-P02,Privacy,934,The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.,openai,gpt-5.6-terra,2,2026-09-14T18:23:10.943509+00:00,3.351,Security and Authorized Processing of User Information,"As a registered user, I want my transactions and personal information protected and processed only as agreed, so that I can use the website without exposure to unauthorized access, disclosure, or identity theft.","[""Secure all transactions made through the website."", ""Secure sensitive information transmitted to and from the website."", ""Prevent identity theft and other security-related issues affecting registered users."", ""Prevent unauthorized transmission of users' sensitive information to third-party websites for reference."", ""Process user information in accordance with the user agreement."", ""Securely store all registered-user information in the central database.""]",True,[],[],"[""resp_028cc6b5896a6708006aa83b8f2e5c87d2a0f4f529dcc26b5e""]",outputs/backend_runs/20260914T182314Z_ABL-P02_openai_gpt-5_6-terra_r2.json
ABL-F01__anthropic__1,ABL-F01,Freedom & Autonomy,1035,"The value add application the passenger is using needs to impelent a control which identifies, which data processing activities are necessary for which basic or added value services the user is considering to use and she can thus opt in or out of the service based on the data processed. The data the user has selected for her rights execution needs to be processed accordingly, e.g. anonymized, deleted or made available for the user to transfer to another service/download.",anthropic,claude-fable-5-1,1,2026-09-14T18:23:14.295406+00:00,5.984,Service-Specific Data Processing Transparency and Opt-In/Opt-Out Control,"As a passenger, I want to see which data processing activities are necessary for each basic or added-value service I am considering, so that I can opt in to or out of a service based on the data it processes.","[""The application shall identify, for each basic or added-value service the passenger is considering, which data processing activities are necessary for that service."", ""The passenger shall be able to opt in to or out of a service based on the data processing activities identified for it."", ""Data the passenger has selected for the exercise of her rights shall be processed accordingly, e.g. anonymized, deleted, or made available for the passenger to download or transfer to another service.""]",True,[],[],"[""msg_011Cf3oG3pZmVkFjcbRvamjQ""]",outputs/backend_runs/20260914T182320Z_ABL-F01_anthropic_claude-fable-5-1_r1.json
ABL-J03__openai__3,ABL-J03,Justice & Equity,367,The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,openai,gpt-5.6-terra,3,2026-09-14T18:23:20.279991+00:00,5.332,Inclusive African-Themed Service Presentation,"As a website visitor, I want service pages to present an African identity inclusively, so that I can engage with the services and consider signing up.","[""The website shall convey an African feel without alienating non-African visitors."", ""Pages describing services shall use animation to attract users' attention and encourage sign-up.""]",True,[],[],"[""resp_0dbc4e777c6d05ea006aa83b9887c887d2af2d215e22af94aa""]",outputs/backend_runs/20260914T182325Z_ABL-J03_openai_gpt-5_6-terra_r3.json
ABL-P02__openai__3,ABL-P02,Privacy,934,The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.,openai,gpt-5.6-terra,3,2026-09-14T18:23:25.612852+00:00,3.322,Registered User Security and Information Protection,"As a registered user, I want my transactions, sensitive information, and stored account information protected, so that I can use the website without exposure to security threats or unauthorized disclosure.","[""Secure all transactions made through the website."", ""Secure sensitive information transmitted to and from the website."", ""Address identity theft and other security-related issues affecting registered users."", ""Prevent unauthorized transmission of users' sensitive information to third-party websites for reference."", ""Process user information only on the basis of the user agreement."", ""Securely store all registered-user information in the central database.""]",True,[],[],"[""resp_0ef28af914aedd64006aa83b9dd3d087d28c0cecf2b458f297""]",outputs/backend_runs/20260914T182328Z_ABL-P02_openai_gpt-5_6-terra_r3.json
ABL-F02__google__3,ABL-F02,Freedom & Autonomy,961,The product shall be available to players who understand English  Spanish and French. The product shall allow the user to select the language upon accessing the product.,google,gemini-3.8-flash,3,2026-09-14T18:23:28.934791+00:00,4.478,Multilingual Support and Language Selection,"As a player, I want to select my language upon accessing the product, so that I can use the product in a language I understand.","[""Make the product available in English, Spanish, and French."", ""Allow the user to select the language upon accessing the product.""]",True,[],[],"[""v1_ChdvenVvYW9EbUk2eVcyOG9QazVDbG9BSRIXb3p1b2FvRG1JNnlXMjhvUGs1Q2xvQUk""]",outputs/backend_runs/20260914T182333Z_ABL-F02_google_gemini-3_8-flash_r3.json
ABL-P01__anthropic__3,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,anthropic,claude-fable-5-1,3,2026-09-14T18:23:33.413536+00:00,5.175,Non-disclosure of Player Identity,"As a player, I want the product to give me no access to information that might reveal the identity of another player, so that my own identity remains undisclosed to other players.","[""The product shall not provide players access to information that might reveal the identity of another player.""]",True,[],[],"[""msg_011Cf3oHUygRuZUCtfZWmKgA""]",outputs/backend_runs/20260914T182338Z_ABL-P01_anthropic_claude-fable-5-1_r3.json
ABL-J01__anthropic__1,ABL-J01,Justice & Equity,1009,"Ensure the quality of the data by testing. Testing at least with race, gender, age should be done and variance between gropes should not be significant. Realtime testing in real context needs to be done before launch.",anthropic,claude-fable-5-1,1,2026-09-14T18:23:38.589375+00:00,4.908,Data Quality and Fairness Testing Across Demographic Groups,"As a user, I want the data quality to be verified through testing across demographic groups, so that I am not subject to significant disparities in outcomes based on race, gender, or age.","[""Data quality is ensured through testing."", ""Testing covers at least race, gender, and age."", ""Variance between demographic groups is not significant."", ""Real-time testing in the real context of use is performed before launch.""]",True,[],[],"[""msg_011Cf3oHqCrggunvroRyYmjw""]",outputs/backend_runs/20260914T182343Z_ABL-J01_anthropic_claude-fable-5-1_r1.json
ABL-T03__openai__2,ABL-T03,Transparency,1012,"System needs to provide process documentation and specs for new service joining the system. List of acceptable actions should be given. E.g. are there restrictions of data usage, bandwidth, number of API queries",openai,gpt-5.6-terra,2,2026-09-14T18:23:43.497490+00:00,3.173,New Service Integration Documentation,"As a service integrator, I want documentation and specifications for joining the system, so that I can determine the permitted actions and applicable usage restrictions.","[""Provide process documentation and specifications for integrating a new service with the system."", ""Provide a list of actions that a new service is permitted to perform."", ""Document applicable restrictions on data usage, bandwidth consumption, and the number of API queries.""]",True,[],[],"[""resp_0e0f97d41fe67cea006aa83bafaf7c87d2a088979c9aa477ba""]",outputs/backend_runs/20260914T182346Z_ABL-T03_openai_gpt-5_6-terra_r2.json
ABL-P02__google__1,ABL-P02,Privacy,934,The website must provide highest degree of security to the registered users. All the transactions that are made must be secured. The sensitive information passed to and from the website must be secured. Identity theft and other security related issues must be solved. Unauthorized transmission of sensitive information of the user to third party websites for reference must be avoided. On the basis of user agreement the information must be processed. All the information about the registered user must be securely stored in the central database.,google,gemini-3.8-flash,1,2026-09-14T18:23:46.670471+00:00,5.523,Registered User Data and Transaction Security,"As a registered user, I want the website to secure my transactions and personal information, so that my sensitive data is protected against unauthorized transmission and identity theft.","[""Secure all transactions conducted on the website."", ""Secure sensitive information transmitted to and from the website."", ""Prevent unauthorized transmission of sensitive user information to third-party websites for reference."", ""Process user information strictly on the basis of the user agreement."", ""Securely store all registered user information in the central database."", ""Resolve identity theft and other security-related issues affecting users.""]",True,[],[],"[""v1_Chd0anVvYW82Rk5iTzd2ZElQdkx6OWlBURIXdGp1b2FvNkZOYk83dmRJUHZMejlpQVE""]",outputs/backend_runs/20260914T182352Z_ABL-P02_google_gemini-3_8-flash_r1.json
ABL-F02__anthropic__1,ABL-F02,Freedom & Autonomy,961,The product shall be available to players who understand English  Spanish and French. The product shall allow the user to select the language upon accessing the product.,anthropic,claude-fable-5-1,1,2026-09-14T18:23:52.193914+00:00,5.140,Multilingual Language Selection,"As a player, I want to select my language among English, Spanish, and French when accessing the product, so that I can use it in a language I understand.","[""The product shall be available in English, Spanish, and French."", ""The product shall allow the user to select the language upon accessing the product.""]",True,[],[],"[""msg_011Cf3oJqwXmDLj8FagsLooV""]",outputs/backend_runs/20260914T182357Z_ABL-F02_anthropic_claude-fable-5-1_r1.json
ABL-F02__google__2,ABL-F02,Freedom & Autonomy,961,The product shall be available to players who understand English  Spanish and French. The product shall allow the user to select the language upon accessing the product.,google,gemini-3.8-flash,2,2026-09-14T18:23:57.360734+00:00,5.240,Multilingual Availability and Selection,"As a player, I want to select my language upon accessing the product, so that I can use the product in a language I understand.","[""Make the product available in English, Spanish, and French."", ""Allow the user to select their language upon accessing the product.""]",True,[],[],"[""v1_Chd3VHVvYXJiaUdjNk54TjhQaTlmX2lBZxIXd1R1b2FyYmlHYzZOeE44UGk5Zl9pQWc""]",outputs/backend_runs/20260914T182402Z_ABL-F02_google_gemini-3_8-flash_r2.json
ABL-F03__anthropic__2,ABL-F03,Freedom & Autonomy,931,Registered User must be able to maintain his/her session information for at least 60 minutes of inactive session before the system prompts him to log out of the system. The registered user must be provided with all the options of the E-store regardless of the time when he/she logs in.,anthropic,claude-fable-5-1,2,2026-09-14T18:24:02.600917+00:00,4.568,Session Persistence and Full Feature Availability,"As a registered user, I want my session to be maintained for at least 60 minutes of inactivity before I am prompted to log out, so that I can resume my activity without being logged out prematurely.","[""The system shall maintain a registered user's session information for at least 60 minutes of inactivity before prompting the user to log out."", ""The system shall provide a registered user with all E-store options regardless of the time at which the user logs in.""]",True,[],[],"[""msg_011Cf3oKbpWDb7RHLAXLy4p5""]",outputs/backend_runs/20260914T182407Z_ABL-F03_anthropic_claude-fable-5-1_r2.json
ABL-T02__google__3,ABL-T02,Transparency,1036,Data statements need to be available and also descriptions what services optional and how to opt—out on those need to be implanted. Description of what parts of the system are used by harbor official and cannot by opt-outed.,google,gemini-3.8-flash,3,2026-09-14T18:24:07.168904+00:00,5.709,Data Statements and Service Opt-Out Information,"As a user, I want access to data statements and information regarding optional and non-optional services, so that I can determine which features I can opt out of and understand mandatory system functions.","[""Make data statements accessible within the system."", ""Provide descriptions specifying which services are optional and instructions on how to opt out of them."", ""Provide descriptions specifying which parts of the system are used by harbor officials and cannot be opted out of.""]",True,[],[],"[""v1_Chd5enVvYXVINUNlV0p2ZElQLWEtdmtRcxIXeXp1b2F1SDVDZVdKdmRJUC1hLXZrUXM""]",outputs/backend_runs/20260914T182412Z_ABL-T02_google_gemini-3_8-flash_r3.json
