run_id,requirement_id,principle,source_row,requirement,condition,configuration,repetition,model,started_at,elapsed_seconds,initial_title,initial_description,initial_work_items,final_title,final_description,final_work_items,revision_occurred,status,review_reason,internal_clarity,internal_completeness,internal_actionability,internal_testability,internal_faithfulness,api_response_ids,saved_run_path
ABL-J01__same_model_single_pass__3,ABL-J01,Justice & Equity,970,The system shall provide multi language support.,same_model_single_pass,single_pass,3,gpt-5.6-terra,2026-09-13T23:09:49.510228+00:00,1.790,Multilingual Support,"As a user, I want to use the system in multiple languages so that I can interact with it in my preferred language.","[""The system shall provide support for multiple languages.""]",Multilingual Support,"As a user, I want to use the system in multiple languages so that I can interact with it in my preferred language.","[""The system shall provide support for multiple languages.""]",False,not_validated,,,,,,,"[""resp_03bb44eaea7f79f0006aa72d3dac9087d2bb1fb2a531a4c909""]",outputs/runs/20260913T230951Z_ABL-J01_single_pass.json
ABL-J03__eai_usg__3,ABL-J03,Justice & Equity,296,The product shall be translated into foreign languages other than the target market countries\92 languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market\92s language.,eai_usg,full,3,gpt-5.6-terra,2026-09-13T23:09:51.301710+00:00,27.015,Future Language Availability,"As a user, I want the product to be available in additional foreign languages and promptly configured for emerging target-market languages, so that I can use it in the language applicable to my market.","[""In future releases, the product shall be translated into foreign languages other than the languages of target-market countries."", ""For each emerging target market, the product shall be configured for that market's language within no more than 5 days.""]",Future Language Availability,"As a user, I want the product to be available in additional foreign languages and promptly configured for emerging target-market languages, so that I can use it in the language applicable to my market.","[""In future releases, the product shall be translated into foreign languages other than the languages of target-market countries."", ""For each emerging target market, the product shall be configured for that market's language within no more than 5 days.""]",False,passed,,4,5,4,4,5,"[""resp_0c9424ecf54de5a3006aa72d3f78d887d2b6ad7e551b482b3b"", ""resp_024c3149892d0106006aa72d44847c87d2825fa7a1ca1ee22c"", ""resp_0cb6e09a8566603a006aa72d4754fc87d293bbdb55c8aa5ad0""]",outputs/runs/20260913T231018Z_ABL-J03_full.json
ABL-F03__same_model_single_pass__2,ABL-F03,Freedom & Autonomy,701,The user must be able to add photos from his/her photo library to his/her medical record.,same_model_single_pass,single_pass,2,gpt-5.6-terra,2026-09-13T23:10:18.318556+00:00,2.450,Add Personal Photos to Medical Record,"As a user, I want to add photos from my photo library to my medical record, so that I can include relevant visual information in it.","[""Users must be able to add photos from their photo library to their medical record.""]",Add Personal Photos to Medical Record,"As a user, I want to add photos from my photo library to my medical record, so that I can include relevant visual information in it.","[""Users must be able to add photos from their photo library to their medical record.""]",False,not_validated,,,,,,,"[""resp_0fc7f5bbb81fdbb0006aa72d5ad85087d2a2461f152b63ae83""]",outputs/runs/20260913T231020Z_ABL-F03_single_pass.json
ABL-F03__eai_usg__2,ABL-F03,Freedom & Autonomy,701,The user must be able to add photos from his/her photo library to his/her medical record.,eai_usg,full,2,gpt-5.6-terra,2026-09-13T23:10:20.769493+00:00,24.553,Add Personal Photos to Medical Record,"As a user, I want to add photos from my photo library to my medical record so that I can include them in my record.","[""Users can add photos originating from their photo library to their medical record.""]",Add Personal Photos to Medical Record,"As a user, I want to add photos from my photo library to my medical record so that I can document information with photos.","[""Users can add photos from their photo library to their medical record.""]",True,passed,,5,5,4,4,5,"[""resp_03251f2d59fcf811006aa72d5cf44087d2a6b1056c7c1a70c6"", ""resp_0992361c4876313b006aa72d606ff887d2a413b20e4885998a"", ""resp_043e3dd553184a17006aa72d62726c87d28394b46169f43ba3"", ""resp_0ab6f3d22395c68e006aa72d6c98fc87d2b794fc22fbefdee0"", ""resp_0d52c6fab6cc2a4e006aa72d6faa5c87d2846beb49b15e06bd""]",outputs/runs/20260913T231045Z_ABL-F03_full.json
ABL-F01__same_model_single_pass__2,ABL-F01,Freedom & Autonomy,824,The system shall allow the user to change the password.,same_model_single_pass,single_pass,2,gpt-5.6-terra,2026-09-13T23:10:45.323855+00:00,1.266,Password Change,"As a user, I want to change my password so that I can update my account credentials.","[""The system shall allow the user to change their password.""]",Password Change,"As a user, I want to change my password so that I can update my account credentials.","[""The system shall allow the user to change their password.""]",False,not_validated,,,,,,,"[""resp_0864419b885428ae006aa72d7578b087d297fc3495f3433564""]",outputs/runs/20260913T231046Z_ABL-F01_single_pass.json
ABL-J03__same_model_single_pass__2,ABL-J03,Justice & Equity,296,The product shall be translated into foreign languages other than the target market countries\92 languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market\92s language.,same_model_single_pass,single_pass,2,gpt-5.6-terra,2026-09-13T23:10:46.591087+00:00,2.067,Emerging-Market Language Localization,"As a user in an emerging target market, I want the product available in my market's language so that I can use it in that language.","[""Future releases shall translate the product into foreign languages other than the languages of the target-market countries."", ""For each emerging target market, the product shall be configurable for that market's language within no more than five days.""]",Emerging-Market Language Localization,"As a user in an emerging target market, I want the product available in my market's language so that I can use it in that language.","[""Future releases shall translate the product into foreign languages other than the languages of the target-market countries."", ""For each emerging target market, the product shall be configurable for that market's language within no more than five days.""]",False,not_validated,,,,,,,"[""resp_0264b87913e45404006aa72d76f26087d2a185ee6b45944890""]",outputs/runs/20260913T231048Z_ABL-J03_single_pass.json
ABL-J03__eai_usg__2,ABL-J03,Justice & Equity,296,The product shall be translated into foreign languages other than the target market countries\92 languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market\92s language.,eai_usg,full,2,gpt-5.6-terra,2026-09-13T23:10:48.658729+00:00,19.331,Expanded Language Availability,"As a user, I want future releases to be available in foreign languages beyond the languages of target-market countries, so that I can use the product across additional language contexts.","[""Future releases shall include translations into foreign languages other than the languages of target-market countries."", ""For each emerging target market, the product shall be configurable for that market's language within no more than 5 days.""]",Expanded Language Availability,"As a user, I want future releases to be available in foreign languages beyond the languages of target-market countries, so that I can use the product across additional language contexts.","[""Future releases shall include translations into foreign languages other than the languages of target-market countries."", ""For each emerging target market, the product shall be configurable for that market's language within no more than 5 days.""]",False,passed,,5,5,4,4,5,"[""resp_02bc1e5c5937efe2006aa72d78d7e887d2a0e789cda0b2d669"", ""resp_05094080e01ef501006aa72d7e548087d29cd24d1f1219e714"", ""resp_0986be9a39accfae006aa72d8594b887d29bf4aa0d05572085""]",outputs/runs/20260913T231107Z_ABL-J03_full.json
ABL-T01__same_model_single_pass__2,ABL-T01,Transparency,252,The audit report shall be displayed to the user.,same_model_single_pass,single_pass,2,gpt-5.6-terra,2026-09-13T23:11:07.991501+00:00,1.416,Audit Report Display,"As a user, I want the audit report displayed so that I can review its contents.","[""Display the audit report to the user.""]",Audit Report Display,"As a user, I want the audit report displayed so that I can review its contents.","[""Display the audit report to the user.""]",False,not_validated,,,,,,,"[""resp_0d6fedbd3e37607e006aa72d8c354087d2a2e6887b1b1d697f""]",outputs/runs/20260913T231109Z_ABL-T01_single_pass.json
ABL-P02__eai_usg__3,ABL-P02,Privacy,700,The user must be able to set an option to hide information based on who has tagged it.,eai_usg,full,3,gpt-5.6-terra,2026-09-13T23:11:09.408384+00:00,10.206,Tagger-Based Information Hiding,"As a user, I want to configure an option to hide information based on who tagged it, so that I can control which tagged information is visible to me.","[""The system shall allow users to configure an option to hide information according to the person who tagged that information.""]",Tagger-Based Information Hiding,"As a user, I want to configure an option to hide information based on who tagged it, so that I can control which tagged information is visible to me.","[""The system shall allow users to configure an option to hide information according to the person who tagged that information.""]",False,passed,,5,5,4,4,5,"[""resp_083d6e08c77ee059006aa72d8d92f887d2b59607d80592ce0b"", ""resp_0dab5960c0a2c629006aa72d91d67c87d28c6bde051046b986"", ""resp_0eacb36520d973a2006aa72d93ddb087d2ab9a7767f8ad9a1e""]",outputs/runs/20260913T231119Z_ABL-P02_full.json
ABL-P03__eai_usg__1,ABL-P03,Privacy,1046,The system follows regulations on data privacy and ensures that data access is granted only to relevant personnel.,eai_usg,full,1,gpt-5.6-terra,2026-09-13T23:11:19.615394+00:00,12.014,Privacy-Compliant Data Access,"As a data subject, I want my data to be handled in accordance with applicable privacy regulations and accessed only by relevant personnel, so that my data privacy is protected.","[""Ensure that the system's handling of data complies with applicable data privacy regulations."", ""Grant access to data only to relevant personnel.""]",Privacy-Compliant Data Access,"As a data subject, I want my data to be handled in accordance with applicable privacy regulations and accessed only by relevant personnel, so that my data privacy is protected.","[""Ensure that the system's handling of data complies with applicable data privacy regulations."", ""Grant access to data only to relevant personnel.""]",False,passed,,5,5,4,4,5,"[""resp_079f588ff237f7c0006aa72d97cf3487d2a3e2671719c9ca9a"", ""resp_0845ee3a55f297f3006aa72d9b6b1887d286d191e4b458b91a"", ""resp_0e45ce06da3e485a006aa72d9d985087d2a1c4b1424a02398c""]",outputs/runs/20260913T231131Z_ABL-P03_full.json
ABL-T01__eai_usg__1,ABL-T01,Transparency,252,The audit report shall be displayed to the user.,eai_usg,full,1,gpt-5.6-terra,2026-09-13T23:11:31.629854+00:00,7.540,Audit Report Visibility,"As a user, I want the audit report displayed so that I can examine its information.","[""The audit report shall be displayed to the user.""]",Audit Report Visibility,"As a user, I want the audit report displayed so that I can examine its information.","[""The audit report shall be displayed to the user.""]",False,passed,,5,5,4,4,5,"[""resp_0b703d3180cfe10b006aa72da3cde887d2bba57e64eae78095"", ""resp_0267b32269454077006aa72da6c0c487d2b36130a7077c2ecc"", ""resp_04e10cb8ed592af0006aa72da852f887d28b58affac9ff88b4""]",outputs/runs/20260913T231139Z_ABL-T01_full.json
ABL-J01__eai_usg__3,ABL-J01,Justice & Equity,970,The system shall provide multi language support.,eai_usg,full,3,gpt-5.6-terra,2026-09-13T23:11:39.171374+00:00,11.315,Multilingual Support,"As a user, I want to use the system in multiple languages so that I can access it in my language.","[""The system shall support multiple languages.""]",Multilingual Support,"As a user, I want to use the system in multiple languages so that I can access it in my language.","[""The system shall support multiple languages.""]",False,passed,,5,5,4,4,5,"[""resp_04ac732a49941286006aa72dab5e3887d29f2d84283cdac189"", ""resp_0beb7b3f54d4d3c6006aa72dae3d5c87d29ecc984be33a9db5"", ""resp_0311847b265a89d5006aa72db0392087d2876f049c5d2fb7e9""]",outputs/runs/20260913T231150Z_ABL-J01_full.json
ABL-F02__eai_usg__2,ABL-F02,Freedom & Autonomy,858,The system shall allow user to update the profile information.,eai_usg,full,2,gpt-5.6-terra,2026-09-13T23:11:50.488207+00:00,10.242,Profile Information Updates,"As a user, I want to update my profile information so that I can keep it current.","[""The system shall allow users to update their profile information.""]",Profile Information Updates,"As a user, I want to update my profile information so that I can keep it current.","[""The system shall allow users to update their profile information.""]",False,passed,,5,5,4,4,5,"[""resp_01f524bfb2cfa72e006aa72db6b23c87d29b960cc028df424c"", ""resp_0c310bdb68d33d56006aa72db9af9087d2a5a9703ff53500d3"", ""resp_04e5e4c2a5db162d006aa72dbbda6c87d283a6805375630537""]",outputs/runs/20260913T231200Z_ABL-F02_full.json
ABL-J03__eai_usg__1,ABL-J03,Justice & Equity,296,The product shall be translated into foreign languages other than the target market countries\92 languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market\92s language.,eai_usg,full,1,gpt-5.6-terra,2026-09-13T23:12:00.730856+00:00,22.395,Timely Language Support for Emerging Markets,"As a user, I want the product to support additional foreign languages in future releases and be configured promptly for emerging target-market languages, so that I can use it in my market's language.","[""Future releases shall provide product translations into foreign languages other than the languages of target-market countries."", ""For each emerging target market, configuring the product for that market's language shall take no more than 5 days.""]",Timely Language Support for Emerging Markets,"As a user, I want the product to support additional foreign languages in future releases and be configured promptly for emerging target-market languages, so that I can use it in my market's language.","[""Future releases shall provide product translations into foreign languages other than the languages of target-market countries."", ""For each emerging target market, configuring the product for that market's language shall take no more than 5 days.""]",False,passed,,4,5,4,4,5,"[""resp_031e060fbaa5b8a0006aa72dc101dc87d2aae434ba3ac37d46"", ""resp_0c82437404f94099006aa72dc8702087d2bd2865f8fe7c1f22"", ""resp_04f77ba6933670ec006aa72dcaef2487d282fb32b126ab178f""]",outputs/runs/20260913T231223Z_ABL-J03_full.json
ABL-T01__eai_usg__2,ABL-T01,Transparency,252,The audit report shall be displayed to the user.,eai_usg,full,2,gpt-5.6-terra,2026-09-13T23:12:23.127213+00:00,6.992,Audit Report Visibility,"As a user, I want the audit report displayed so that I can review it.","[""Display the audit report to the user.""]",Audit Report Visibility,"As a user, I want the audit report displayed so that I can review it.","[""Display the audit report to the user.""]",False,passed,,5,5,4,4,5,"[""resp_0845709ae3062ca7006aa72dd74e4087d2837aff42d9bc4ecb"", ""resp_08d3826bcae004d7006aa72dd9f00887d29e2eb35566069c72"", ""resp_0f34651aaff5cf4d006aa72ddb7df487d2ad8821d30871c115""]",outputs/runs/20260913T231230Z_ABL-T01_full.json
ABL-J02__eai_usg__2,ABL-J02,Justice & Equity,736,The Web interface should be compatible with standards in order to be usable via all major Web browsers in a wide variety of environments.,eai_usg,full,2,gpt-5.6-terra,2026-09-13T23:12:30.119453+00:00,29.110,Standards-Based Web Interface Compatibility,"As a user, I want to use the Web interface through major Web browsers in a wide variety of environments so that I can access its functionality across my browsing context.","[""The Web interface shall be compatible with applicable Web standards."", ""The Web interface shall be usable through all major Web browsers in a wide variety of environments.""]",Standards-Based Web Interface Compatibility,"As a user, I want to use the Web interface through major Web browsers in a wide variety of environments so that I can use it in my chosen browsing environment.","[""The Web interface shall be compatible with applicable Web standards."", ""The Web interface shall be usable through all major Web browsers in a wide variety of environments.""]",True,requires_human_review,unresolved_quality_issue,4,5,4,4,5,"[""resp_04f9b299ee8e3385006aa72dde8d1087d2b64d45b77ec2fb3c"", ""resp_0ed434cc7082cc56006aa72de38f5087d2a0ae266f218fbff6"", ""resp_0727e2beccc4366c006aa72de6ad7087d28a244007c5219a6b"", ""resp_0762fce1620c39ad006aa72df1b7fc87d289e79f3944a93717"", ""resp_0c22fdc98b592422006aa72df4922c87d28aa40218670f275a""]",outputs/runs/20260913T231259Z_ABL-J02_full.json
ABL-F01__eai_usg__2,ABL-F01,Freedom & Autonomy,824,The system shall allow the user to change the password.,eai_usg,full,2,gpt-5.6-terra,2026-09-13T23:12:59.230444+00:00,21.219,Password Change,"As a user, I want to change my password so that I can update my account credentials.","[""The system shall allow users to change their passwords.""]",Password Change,"As a user, I want to change my password so that I can use a new password to access my account.","[""The system shall allow users to change their passwords.""]",True,passed,,5,5,4,4,5,"[""resp_04ae3551db3630ed006aa72dfb6ad487d28162c52b0da032b7"", ""resp_0eedeed9b5469059006aa72dfe761487d287ff661504a105d7"", ""resp_06cc48e64caa7e61006aa72e00246487d28290fec7e865f07a"", ""resp_04c1c1874332e5e2006aa72e0a436c87d287bd815480283c27"", ""resp_0e17111f0be6acd7006aa72e0bd92487d2a3a6ba0af61a4c75""]",outputs/runs/20260913T231320Z_ABL-F01_full.json
ABL-P02__same_model_single_pass__2,ABL-P02,Privacy,700,The user must be able to set an option to hide information based on who has tagged it.,same_model_single_pass,single_pass,2,gpt-5.6-terra,2026-09-13T23:13:20.450974+00:00,2.269,Tagger-Based Information Hiding,"As a user, I want to set an option to hide information based on who tagged it, so that I can filter displayed information by tagger.","[""The system shall allow the user to set an option to hide information according to the person who tagged it.""]",Tagger-Based Information Hiding,"As a user, I want to set an option to hide information based on who tagged it, so that I can filter displayed information by tagger.","[""The system shall allow the user to set an option to hide information according to the person who tagged it.""]",False,not_validated,,,,,,,"[""resp_0f97a1f2eca722f4006aa72e109b7c87d28495b218f145b7ad""]",outputs/runs/20260913T231322Z_ABL-P02_single_pass.json
ABL-J02__same_model_single_pass__1,ABL-J02,Justice & Equity,736,The Web interface should be compatible with standards in order to be usable via all major Web browsers in a wide variety of environments.,same_model_single_pass,single_pass,1,gpt-5.6-terra,2026-09-13T23:13:22.720693+00:00,1.990,Web Standards Compatibility,"As a user, I want to use the Web interface in major Web browsers across varied environments so that I can access its functionality.","[""Ensure the Web interface is compatible with Web standards."", ""Ensure the Web interface is usable through all major Web browsers in a wide variety of environments.""]",Web Standards Compatibility,"As a user, I want to use the Web interface in major Web browsers across varied environments so that I can access its functionality.","[""Ensure the Web interface is compatible with Web standards."", ""Ensure the Web interface is usable through all major Web browsers in a wide variety of environments.""]",False,not_validated,,,,,,,"[""resp_0d9af66afc2db785006aa72e12f04c87d28c13bfd5f8c388cf""]",outputs/runs/20260913T231324Z_ABL-J02_single_pass.json
ABL-T03__same_model_single_pass__1,ABL-T03,Transparency,1044,Documentation and logs of data sources for Traceability.,same_model_single_pass,single_pass,1,gpt-5.6-terra,2026-09-13T23:13:24.711715+00:00,1.623,Data Source Traceability,"As a user, I want data sources to be documented and logged so that I can trace their provenance.","[""Document the data sources."", ""Maintain logs of the data sources for traceability.""]",Data Source Traceability,"As a user, I want data sources to be documented and logged so that I can trace their provenance.","[""Document the data sources."", ""Maintain logs of the data sources for traceability.""]",False,not_validated,,,,,,,"[""resp_02c166548cffffc5006aa72e14e86487d285f8f91baa3652a7""]",outputs/runs/20260913T231326Z_ABL-T03_single_pass.json
ABL-T03__eai_usg__3,ABL-T03,Transparency,1044,Documentation and logs of data sources for Traceability.,eai_usg,full,3,gpt-5.6-terra,2026-09-13T23:13:26.335599+00:00,9.741,Data Source Traceability,"As a user, I want documentation and logs of data sources so that I can trace their provenance.","[""Provide documentation of data sources for traceability."", ""Provide logs of data sources for traceability.""]",Data Source Traceability,"As a user, I want documentation and logs of data sources so that I can trace their provenance.","[""Provide documentation of data sources for traceability."", ""Provide logs of data sources for traceability.""]",False,passed,,5,5,4,4,5,"[""resp_02e975fecd6220d6006aa72e167a4487d28c28678f54d1003f"", ""resp_05febd6f13d9d378006aa72e1a3c1c87d29e9cb81539e51c05"", ""resp_0762d1249467449a006aa72e1be70087d2ae58e02d0bf2da47""]",outputs/runs/20260913T231336Z_ABL-T03_full.json
ABL-P01__same_model_single_pass__2,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,same_model_single_pass,single_pass,2,gpt-5.6-terra,2026-09-13T23:13:36.078193+00:00,1.752,Player Identity Protection,"As a player, I want other players’ identity-revealing information to be inaccessible so that I can participate without being identified by them.","[""The product shall not provide players access to information that might reveal another player's identity.""]",Player Identity Protection,"As a player, I want other players’ identity-revealing information to be inaccessible so that I can participate without being identified by them.","[""The product shall not provide players access to information that might reveal another player's identity.""]",False,not_validated,,,,,,,"[""resp_088c5c936781eb59006aa72e20401487d29eba1168d5a9b56a""]",outputs/runs/20260913T231337Z_ABL-P01_single_pass.json
ABL-P01__eai_usg__1,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,eai_usg,full,1,gpt-5.6-terra,2026-09-13T23:13:37.831022+00:00,14.411,Player Identity Protection,"As a player, I want information that could reveal another player's identity to be inaccessible to me, so that I cannot identify that player.","[""Players must not be able to access information that might reveal another player's identity.""]",Player Identity Protection,"As a player, I want information that could reveal another player's identity to be inaccessible to me, so that I cannot identify that player.","[""Players must not be able to access information that might reveal another player's identity.""]",False,passed,,5,5,4,4,5,"[""resp_0cfda00020893e15006aa72e21ff8087d2804594da78d6c6f3"", ""resp_071ab4b9f7edf469006aa72e25725887d28e8d1fdfc307cc22"", ""resp_05808cae550683f3006aa72e291dd487d2b75d3ccd35695024""]",outputs/runs/20260913T231352Z_ABL-P01_full.json
ABL-T01__eai_usg__3,ABL-T01,Transparency,252,The audit report shall be displayed to the user.,eai_usg,full,3,gpt-5.6-terra,2026-09-13T23:13:52.243222+00:00,7.422,Audit Report Visibility,"As a user, I want to view the audit report so that I can examine its contents.","[""The audit report shall be displayed to the user.""]",Audit Report Visibility,"As a user, I want to view the audit report so that I can examine its contents.","[""The audit report shall be displayed to the user.""]",False,passed,,5,5,4,4,5,"[""resp_0d908beb4573ad1c006aa72e30778c87d28134789d0f4e9de2"", ""resp_0911bdaf937c95ed006aa72e3340a087d2b3852ebdb8960ecc"", ""resp_03544f1bc08c0e0d006aa72e34e69487d284be5a9936916bfe""]",outputs/runs/20260913T231359Z_ABL-T01_full.json
