artifact_id,run_id,requirement_id,principle,source_row,requirement,backend,model,repetition,title,description,work_items,checks_passed,clarity_e1,completeness_e1,actionability_e1,testability_e1,faithfulness_e1,clarity_e2,completeness_e2,actionability_e2,testability_e2,faithfulness_e2,clarity,completeness,actionability,testability,faithfulness,overall,overall_e1,overall_e2
A016,ABL-F02__google__3,ABL-F02,Freedom & Autonomy,961,The product shall be available to players who understand English  Spanish and French. The product shall allow the user to select the language upon accessing the product.,google,gemini-3.8-flash,3,Multilingual Support and Language Selection,"As a player, I want to select my language upon accessing the product, so that I can use the product in a language I understand.","[""Make the product available in English, Spanish, and French."", ""Allow the user to select the language upon accessing the product.""]",True,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
A017,ABL-F02__google__1,ABL-F02,Freedom & Autonomy,961,The product shall be available to players who understand English  Spanish and French. The product shall allow the user to select the language upon accessing the product.,google,gemini-3.8-flash,1,"Multilingual Support for English, Spanish, and French","As a player, I want to select my preferred language upon accessing the product, so that I can use the product in a language I understand.","[""Make the product available in English, Spanish, and French."", ""Allow the user to select their language upon accessing the product.""]",True,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
A018,ABL-J01__openai__2,ABL-J01,Justice & Equity,1009,"Ensure the quality of the data by testing. Testing at least with race, gender, age should be done and variance between gropes should not be significant. Realtime testing in real context needs to be done before launch.",openai,gpt-5.6-terra,2,Data Quality Testing Across Demographic Groups,"As a user, I want data quality to be evaluated across race, gender, and age groups before launch, so that I can examine variation between groups.","[""The data shall be tested for quality."", ""Testing shall include at least race, gender, and age groups."", ""Variance between groups shall not be significant."", ""Real-time testing in a real context shall be completed before launch.""]",True,5,5,5,4,5,5,5,5,4,5,5.0,5.0,5.0,4.0,5.0,4.8,4.8,4.8
A019,ABL-T02__google__1,ABL-T02,Transparency,1036,Data statements need to be available and also descriptions what services optional and how to opt—out on those need to be implanted. Description of what parts of the system are used by harbor official and cannot by opt-outed.,google,gemini-3.8-flash,1,Data Statements and Opt-Out Transparency,"As a user, I want data statements and information regarding optional and mandatory services, so that I can distinguish optional features from non-optional functions and understand my opt-out options.","[""Make data statements available to users."", ""Provide descriptions of which services are optional and how to opt out of them."", ""Provide descriptions of which parts of the system are used by harbor officials and cannot be opted out of.""]",True,5,5,5,5,5,5,5,4,3,5,5.0,5.0,4.5,4.0,5.0,4.7,5.0,4.4
A020,ABL-F02__anthropic__3,ABL-F02,Freedom & Autonomy,961,The product shall be available to players who understand English  Spanish and French. The product shall allow the user to select the language upon accessing the product.,anthropic,claude-fable-5-1,3,Multilingual Language Availability,"As a player, I want the product to be available in English, Spanish, and French and to let me select my language when accessing the product, so that I can use the product in a language I understand.","[""The product shall be available in English, Spanish, and French."", ""The product shall allow the user to select the language upon accessing the product.""]",True,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
A021,ABL-T02__openai__3,ABL-T02,Transparency,1036,Data statements need to be available and also descriptions what services optional and how to opt—out on those need to be implanted. Description of what parts of the system are used by harbor official and cannot by opt-outed.,openai,gpt-5.6-terra,3,Data and Opt-Out Transparency,"As a user, I want access to data statements and descriptions of optional and non-optional services, so that I can determine which services I may opt out of.","[""Make data statements available."", ""Describe which services are optional and how users can opt out of them."", ""Describe which parts of the system are used by harbor officials and cannot be opted out of.""]",True,5,5,5,5,5,5,5,4,3,5,5.0,5.0,4.5,4.0,5.0,4.7,5.0,4.4
A022,ABL-P01__anthropic__3,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,anthropic,claude-fable-5-1,3,Non-disclosure of Player Identity,"As a player, I want the product to give me no access to information that might reveal the identity of another player, so that my own identity remains undisclosed to other players.","[""The product shall not provide players access to information that might reveal the identity of another player.""]",True,3,5,5,5,3,5,5,4,4,5,4.0,5.0,4.5,4.5,4.0,4.4,4.2,4.6
A023,ABL-P03__openai__1,ABL-P03,Privacy,995,"If the terminal interacts with smart vehicles, it must be in a way that does not compromise the safety of either party. There must be clear limits to what data is shared and what permissions the systems have for information exchange.",openai,gpt-5.6-terra,1,Safe and Bounded Smart-Vehicle Interaction,"As a user, I want terminal interactions with smart vehicles to have defined data-sharing and information-exchange permission limits, so that I can understand the boundaries of the interaction.","[""Interactions between the terminal and smart vehicles must not compromise the safety of either party."", ""The limits on data shared between the terminal and smart vehicles must be clear."", ""The permissions governing information exchange between the terminal and smart vehicles must be clear.""]",True,5,5,5,4,5,5,5,3,3,5,5.0,5.0,4.0,3.5,5.0,4.5,4.8,4.2
A024,ABL-J03__anthropic__2,ABL-J03,Justice & Equity,367,The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,anthropic,claude-fable-5-1,2,Culturally Distinctive yet Inclusive Design,"As a user, I want the website to convey an African identity while remaining welcoming to non-Africans, so that I can engage with it regardless of my cultural background.","[""The website's design shall convey an African feel."", ""The African character of the website shall not alienate non-African users."", ""Pages describing the services shall use animation to attract the user's attention."", ""The animation on service description pages shall encourage users to sign up.""]",True,4,5,4,3,5,5,5,4,2,5,4.5,5.0,4.0,2.5,5.0,4.2,4.2,4.2
A025,ABL-F03__openai__2,ABL-F03,Freedom & Autonomy,931,Registered User must be able to maintain his/her session information for at least 60 minutes of inactive session before the system prompts him to log out of the system. The registered user must be provided with all the options of the E-store regardless of the time when he/she logs in.,openai,gpt-5.6-terra,2,Session Continuity and Consistent Store Access,"As a registered user, I want my session information retained during periods of inactivity and access to all E-store options regardless of when I log in, so that I can use the E-store without time-based restrictions.","[""Maintain the registered user's session information for at least 60 minutes of inactivity before prompting the user to log out."", ""Provide registered users with all E-store options regardless of their login time.""]",True,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
A026,ABL-F01__google__3,ABL-F01,Freedom & Autonomy,1035,"The value add application the passenger is using needs to impelent a control which identifies, which data processing activities are necessary for which basic or added value services the user is considering to use and she can thus opt in or out of the service based on the data processed. The data the user has selected for her rights execution needs to be processed accordingly, e.g. anonymized, deleted or made available for the user to transfer to another service/download.",google,gemini-3.8-flash,3,Service Data Processing Transparency and Rights Execution,"As a passenger, I want to see which data processing activities are required for each basic or added-value service, so that I can opt in or out of services based on the data processed.","[""Provide a control that identifies which data processing activities are necessary for each basic or added-value service."", ""Allow passengers to opt in or out of basic or added-value services based on the data processed for those services."", ""Process data according to the rights execution selected by the passenger, including anonymization, deletion, or export for download and transfer to another service.""]",True,5,5,5,5,4,5,5,4,3,5,5.0,5.0,4.5,4.0,4.5,4.6,4.8,4.4
A027,ABL-T03__google__2,ABL-T03,Transparency,1012,"System needs to provide process documentation and specs for new service joining the system. List of acceptable actions should be given. E.g. are there restrictions of data usage, bandwidth, number of API queries",google,gemini-3.8-flash,2,New Service Onboarding Documentation and Acceptable Usage Specifications,"As a service integrator, I want process documentation, specifications, and a list of acceptable actions for connecting to the system, so that I can onboard a new service in accordance with system constraints.","[""Provide process documentation for onboarding a new service into the system."", ""Provide technical specifications required for a new service to join the system."", ""Specify acceptable service actions and operational restrictions, including constraints on data usage, bandwidth, and API query counts.""]",True,5,5,5,5,4,5,5,4,3,5,5.0,5.0,4.5,4.0,4.5,4.6,4.8,4.4
A028,ABL-F02__google__2,ABL-F02,Freedom & Autonomy,961,The product shall be available to players who understand English  Spanish and French. The product shall allow the user to select the language upon accessing the product.,google,gemini-3.8-flash,2,Multilingual Availability and Selection,"As a player, I want to select my language upon accessing the product, so that I can use the product in a language I understand.","[""Make the product available in English, Spanish, and French."", ""Allow the user to select their language upon accessing the product.""]",True,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
A029,ABL-T03__openai__3,ABL-T03,Transparency,1012,"System needs to provide process documentation and specs for new service joining the system. List of acceptable actions should be given. E.g. are there restrictions of data usage, bandwidth, number of API queries",openai,gpt-5.6-terra,3,Service Onboarding Requirements Transparency,"As a service provider, I want onboarding process documentation, specifications, and permitted actions so that I can determine the conditions for joining the system.","[""Provide documentation and specifications for onboarding a new service to the system."", ""Provide a list of actions that are acceptable for a new service joining the system."", ""Specify any restrictions on data usage, bandwidth, and the number of API queries.""]",True,5,5,5,5,5,5,5,4,3,5,5.0,5.0,4.5,4.0,5.0,4.7,5.0,4.4
A030,ABL-P03__anthropic__3,ABL-P03,Privacy,995,"If the terminal interacts with smart vehicles, it must be in a way that does not compromise the safety of either party. There must be clear limits to what data is shared and what permissions the systems have for information exchange.",anthropic,claude-fable-5-1,3,Safe and Bounded Interaction with Smart Vehicles,"As a user, I want the terminal's interactions with smart vehicles to not compromise the safety of either party, so that neither the terminal nor the vehicle is put at risk by their exchange.","[""Interaction between the terminal and smart vehicles must not compromise the safety of either the terminal or the vehicle."", ""Clear limits must be defined on what data is shared between the terminal and smart vehicles."", ""Clear limits must be defined on the permissions each system has for information exchange.""]",True,5,5,5,4,5,5,5,4,4,5,5.0,5.0,4.5,4.0,5.0,4.7,4.8,4.6
A031,ABL-F03__anthropic__3,ABL-F03,Freedom & Autonomy,931,Registered User must be able to maintain his/her session information for at least 60 minutes of inactive session before the system prompts him to log out of the system. The registered user must be provided with all the options of the E-store regardless of the time when he/she logs in.,anthropic,claude-fable-5-1,3,Session Persistence and Consistent Access to E-store Options,"As a registered user, I want my session to be maintained for at least 60 minutes of inactivity before I am prompted to log out, so that I can continue my activity without being interrupted.","[""The system shall maintain a registered user's session information for at least 60 minutes of inactivity before prompting the user to log out."", ""The system shall provide a registered user with all E-store options regardless of the time at which the user logs in.""]",True,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
A032,ABL-T03__anthropic__3,ABL-T03,Transparency,1012,"System needs to provide process documentation and specs for new service joining the system. List of acceptable actions should be given. E.g. are there restrictions of data usage, bandwidth, number of API queries",anthropic,claude-fable-5-1,3,Onboarding Documentation and Acceptable Actions for New Services,"As a service provider, I want process documentation and specifications for joining the system, so that I can integrate my service in accordance with the system's requirements.","[""The system shall provide process documentation for a new service joining the system."", ""The system shall provide specifications for a new service joining the system."", ""A list of acceptable actions for a joining service shall be provided, including any restrictions on data usage, bandwidth, and number of API queries.""]",True,5,5,5,5,5,5,5,5,4,5,5.0,5.0,5.0,4.5,5.0,4.9,5.0,4.8
A033,ABL-J03__google__1,ABL-J03,Justice & Equity,367,The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,google,gemini-3.8-flash,1,Inclusive Cultural Design and Service Animations,"As a user, I want the website to reflect an African aesthetic without alienating non-Africans, so that the platform is culturally representative while remaining welcoming to all audiences.","[""Incorporate an African aesthetic across the website while ensuring the design does not alienate non-African visitors."", ""Include animations on service description pages to capture user attention and encourage sign-ups.""]",True,4,5,4,3,5,4,4,3,2,5,4.0,4.5,3.5,2.5,5.0,3.9,4.2,3.6
A034,ABL-F01__google__1,ABL-F01,Freedom & Autonomy,1035,"The value add application the passenger is using needs to impelent a control which identifies, which data processing activities are necessary for which basic or added value services the user is considering to use and she can thus opt in or out of the service based on the data processed. The data the user has selected for her rights execution needs to be processed accordingly, e.g. anonymized, deleted or made available for the user to transfer to another service/download.",google,gemini-3.8-flash,1,Service Data Control and Rights Execution,"As a passenger, I want to see which data processing activities are required for each service and opt in or out, so that I can choose which services to use based on how my data is processed.","[""Identify and present the data processing activities necessary for each basic and added-value service under consideration."", ""Provide controls allowing the user to opt in to or opt out of services based on the data being processed."", ""Execute user data rights requests by processing selected data accordingly, including anonymization, deletion, or providing the data for download or transfer to another service.""]",True,5,5,5,5,4,5,5,4,3,5,5.0,5.0,4.5,4.0,4.5,4.6,4.8,4.4
A035,ABL-P03__anthropic__1,ABL-P03,Privacy,995,"If the terminal interacts with smart vehicles, it must be in a way that does not compromise the safety of either party. There must be clear limits to what data is shared and what permissions the systems have for information exchange.",anthropic,claude-fable-5-1,1,Safe and Bounded Interaction with Smart Vehicles,"As a user, I want the terminal's interaction with smart vehicles to be conducted safely and within clear data-sharing limits, so that neither party's safety is compromised.","[""If the terminal interacts with smart vehicles, the interaction must not compromise the safety of the terminal or the smart vehicle."", ""Clear limits must be defined on what data is shared between the terminal and smart vehicles."", ""Clear limits must be defined on the permissions each system has for information exchange.""]",True,5,5,5,4,5,5,5,4,4,5,5.0,5.0,4.5,4.0,5.0,4.7,4.8,4.6
A036,ABL-J03__openai__1,ABL-J03,Justice & Equity,367,The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,openai,gpt-5.6-terra,1,Inclusive African Service Presentation,"As a website visitor, I want service pages to convey an African identity while remaining welcoming to non-Africans, so that I can engage with the services without feeling excluded.","[""The website shall present an African feel without alienating non-African visitors."", ""Pages that describe services shall use animation to attract users' attention and encourage sign-up.""]",True,4,5,4,3,5,4,4,3,2,5,4.0,4.5,3.5,2.5,5.0,3.9,4.2,3.6
A037,ABL-P01__google__2,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,google,gemini-3.8-flash,2,Player Identity Protection,"As a player, I want other players to have no access to information that could reveal my identity, so that my identity is not disclosed to them.","[""Prevent players from accessing any information that could reveal the identity of another player.""]",True,3,5,5,5,2,5,5,4,4,5,4.0,5.0,4.5,4.5,3.5,4.3,4.0,4.6
A038,ABL-F03__openai__3,ABL-F03,Freedom & Autonomy,931,Registered User must be able to maintain his/her session information for at least 60 minutes of inactive session before the system prompts him to log out of the system. The registered user must be provided with all the options of the E-store regardless of the time when he/she logs in.,openai,gpt-5.6-terra,3,Session Continuity and Consistent Store Access,"As a registered user, I want my session to remain available during inactivity and to access all E-store options whenever I log in, so that I can continue using the E-store without time-dependent restrictions.","[""Maintain registered-user session information for at least 60 minutes of inactivity before prompting the user to log out."", ""Provide registered users with all E-store options regardless of the time at which they log in.""]",True,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
A039,ABL-J02__openai__1,ABL-J02,Justice & Equity,1016,Systems identifies users with special need and has feature to inform terminal service provider of required help. Systems also need to be available to tract special need aids inside the Terminal.,openai,gpt-5.6-terra,1,Special-Needs Assistance and Aid Tracking,"As a terminal service provider, I want to be informed of users' required assistance and track special-needs aids within the terminal, so that I can provide the required help.","[""The system shall identify users with special needs."", ""The system shall inform the terminal service provider of the help required by users with special needs."", ""The system shall be available to track special-needs aids within the terminal.""]",True,5,5,5,5,4,5,5,5,4,5,5.0,5.0,5.0,4.5,4.5,4.8,4.8,4.8
A040,ABL-T01__openai__1,ABL-T01,Transparency,975,Data information policy is communicated at the service app/web page. Procedures in place for GDPR compliance and required steps are planned for example huge amount of user data request. For example redirection of resources or waiting times are clearly communicated.,openai,gpt-5.6-terra,1,Data Policy and Request Transparency,"As a user, I want the service's data information policy and expected handling of large data requests communicated clearly, so that I can understand how my data request will be handled.","[""Communicate the data information policy on the service application or web page."", ""Maintain procedures for GDPR compliance."", ""Plan the required steps for handling large volumes of user data requests."", ""Clearly communicate resource reallocation or waiting times that may result from large user data requests.""]",True,5,5,5,5,3,5,5,5,4,5,5.0,5.0,5.0,4.5,4.0,4.7,4.6,4.8
A041,ABL-P01__google__3,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,google,gemini-3.8-flash,3,Player Identity Protection,"As a player, I want the system to restrict access to information that could reveal another player's identity, so that players cannot identify one another.","[""Prevent players from accessing any information that might reveal the identity of another player.""]",True,5,5,5,5,5,5,5,4,4,5,5.0,5.0,4.5,4.5,5.0,4.8,5.0,4.6
A042,ABL-J01__anthropic__3,ABL-J01,Justice & Equity,1009,"Ensure the quality of the data by testing. Testing at least with race, gender, age should be done and variance between gropes should not be significant. Realtime testing in real context needs to be done before launch.",anthropic,claude-fable-5-1,3,Data Quality and Group Variance Testing,"As a user, I want the data quality to be verified through testing across demographic groups, so that I am not disadvantaged by significant differences in outcomes between groups.","[""The quality of the data shall be verified through testing."", ""Testing shall, at a minimum, cover race, gender, and age."", ""Variance between the tested groups shall not be significant."", ""Real-time testing in the real context of use shall be conducted before launch.""]",True,5,5,5,4,5,5,5,5,4,5,5.0,5.0,5.0,4.0,5.0,4.8,4.8,4.8
A043,ABL-P01__google__1,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,google,gemini-3.8-flash,1,Player Identity Protection,"As a player, I want information that could reveal my identity to be inaccessible to other players, so that other players cannot determine who I am.","[""Prevent players from accessing any information that could reveal the identity of another player.""]",True,3,5,5,5,2,5,5,4,4,5,4.0,5.0,4.5,4.5,3.5,4.3,4.0,4.6
A044,ABL-P01__anthropic__1,ABL-P01,Privacy,476,The product shall provide players no access to information that might reveal the identity of another player,anthropic,claude-fable-5-1,1,Player Identity Protection,"As a player, I want the product to give players no access to information that might reveal another player's identity, so that my identity remains undisclosed to other players.","[""The product shall not provide players with access to information that might reveal the identity of another player.""]",True,3,5,5,5,3,5,5,4,4,5,4.0,5.0,4.5,4.5,4.0,4.4,4.2,4.6
